Gene names,Intensity,Intensity S1,Intensity S10,Intensity S11,Intensity S12,Intensity S13,Intensity S14,Intensity S15,Intensity S16,Intensity S17,Intensity S18,Intensity S19,Intensity S2,Intensity S20,Intensity S21,Intensity S22,Intensity S23,Intensity S24,Intensity S25,Intensity S26,Intensity S27,Intensity S28,Intensity S29,Intensity S3,Intensity S30,Intensity S31,Intensity S32,Intensity S33,Intensity S34,Intensity S35,Intensity S36,Intensity S37,Intensity S38,Intensity S4,Intensity S5,Intensity S6,Intensity S7,Intensity S8,Intensity S9
KDELC2,31093000000,482620000,833200000,760720000,1080300000,1240800000,933520000,529410000,678030000,916140000,1046400000,497160000,758690000,0,1252400000,908880000,964170000,0,829090000,963170000,1125900000,744510000,882020000,1052000000,595910000,1178500000,1153500000,838540000,1039100000,856100000,1182200000,1038400000,603250000,755760000,860980000,775990000,485270000,722240000,527950000
LIMS2,1874200000,29735000,16426000,78818000,65028000,39236000,101770000,101520000,104340000,52714000,45647000,89969000,28410000,31563000,127700000,103400000,0,0,33530000,72640000,0,0,185070000,74570000,185870000,0,0,38357000,27301000,0,0,31821000,20482000,36342000,35202000,57804000,0,58948000,0
TTC21B,1045400000,284880000,20322000,0,30247000,47261000,47645000,0,0,42757000,13866000,0,0,0,0,0,45373000,0,0,32813000,15988000,74209000,17838000,16615000,0,0,0,0,33330000,49057000,63359000,23676000,52278000,52723000,21150000,0,15727000,44258000,0
HEATR3,14984000000,365140000,438630000,229790000,261140000,439580000,342090000,159860000,227140000,431500000,350490000,214290000,348430000,0,320220000,313160000,407950000,0,280650000,565460000,868440000,509010000,581020000,388470000,315930000,750440000,420640000,222560000,300710000,220860000,252310000,1085500000,1008800000,275860000,353300000,427160000,299490000,518770000,489650000
HDGFRP2,1.6616E+11,5449000000,3358700000,3526900000,3927600000,5814400000,4225300000,4525400000,4628200000,5885000000,3596800000,4935800000,5238000000,1401300000,6228100000,6026500000,6181000000,0,2281000000,3697600000,3866600000,7089400000,4830200000,5355500000,5539600000,4956800000,4389200000,3515100000,5261300000,3278300000,4347300000,3882100000,3569300000,4327800000,3833300000,3546600000,4336000000,4946800000,4363700000
HDGFRP2,1117500000,58557000,57435000,34022000,31850000,0,0,54498000,30043000,0,0,55370000,48207000,33816000,43341000,56896000,0,0,34700000,34555000,0,38833000,37091000,42870000,34954000,41569000,22445000,23982000,41692000,0,0,0,21826000,52033000,40590000,0,39444000,46844000,60077000
DCXR,24317000000,800850000,958380000,464260000,457150000,802810000,645480000,469540000,472620000,317940000,254250000,377760000,756670000,139270000,755840000,800520000,758580000,6294900,292550000,296660000,658170000,1983300000,747290000,483050000,804950000,771680000,684310000,717430000,910560000,572930000,797850000,759700000,466940000,453150000,898430000,808670000,681090000,746830000,543240000
RAI1,3927100000,114000000,120030000,156750000,49532000,128960000,131540000,141110000,81481000,156750000,139330000,145720000,53089000,0,24307000,111730000,118590000,0,114340000,129530000,65672000,120930000,162430000,61366000,145200000,102820000,98434000,57687000,121240000,85464000,79327000,96257000,130050000,194670000,83826000,136090000,134720000,109040000,25080000
WAPAL,29847000000,1043500000,621420000,579180000,763180000,991960000,819000000,866250000,728330000,848730000,439160000,780050000,731400000,47306000,855170000,892070000,1325100000,0,350190000,740220000,1160100000,1224800000,869130000,836630000,826580000,1107900000,557240000,846530000,1033300000,770400000,708020000,733640000,791110000,848640000,641630000,930350000,846690000,963790000,727910000
R3HCC1L,4557900000,88233000,137290000,178820000,122490000,95199000,129930000,123280000,86139000,154600000,148520000,108700000,110340000,0,111800000,85898000,85417000,0,96346000,130590000,204370000,194350000,187360000,148180000,140370000,111010000,140440000,65157000,62450000,50019000,53382000,71314000,65036000,144670000,66500000,438000000,173970000,158880000,88870000
